PVSYST 7.4.7
,File,File date,Description
Project,GRID CONNECTED WITH SHADING_Project.PRJ,25/01/26 22h56,GRID CONNECTED WITH SHADING,
Geographical Site,George Town_MN81.SIT,25/01/26 22h56,George Town;India;Asia;,
Weather data,George Town_MN81_SYN.MET,29/12/25 19h12,George Town;Meteonorm 8.1 (1996-2015);Synthetic,
Simulation variant,GRID CONNECTED WITH SHADING_Project.VC0,25/03/26 20h46,New simulation variant,
Simulation date,,25/03/26 20h47

Simulation:,Hourly values, from 01/01/90, to 31/12/90 

date,GlobInc,GlobHor,WindVel,T_Amb,TArray,E_Grid
    ,W/m²,W/m²,m/s,°C,°C,kW

01/01/90 00:00,0,0,0.6999,24.84,0,-0.007
01/01/90 01:00,0,0,0.3,26.28,0,-0.007
01/01/90 02:00,0,0,0.2,26.03,0,-0.007
01/01/90 03:00,0,0,0.4999,25.98,0,-0.007
01/01/90 04:00,0,0,0.4999,25.89,0,-0.007
01/01/90 05:00,0,0,0.8999,25.84,0,-0.007
01/01/90 06:00,0,0.9942,0.4999,25.83,0,-0.007
01/01/90 07:00,43.526,45.097,1.5001,26.26,27.748,12.871
01/01/90 08:00,108.61,111.81,0.8999,26.8,30.457,35.408
01/01/90 09:00,178.55,182.7,3.7,27.4,33.405,59.848
01/01/90 10:00,238.4,242.3,2.3,27.93,35.964,80.688
01/01/90 11:00,258.21,261.6,1.9,28.41,37.143,87.664
01/01/90 12:00,235.8,239.5,2.3,28.67,36.651,79.851
01/01/90 13:00,215.31,217.91,2.6999,28.81,36.108,72.777
01/01/90 14:00,173.92,176.8,1.7,28.84,34.725,58.177
01/01/90 15:00,124.37,126.9,3.4001,28.66,32.867,40.789
01/01/90 16:00,59.865,61.998,1.5001,28.28,30.318,18.336
01/01/90 17:00,0,4.2049,2.1,27.69,0,-0.007
01/01/90 18:00,0,0,1.1001,26.87,0,-0.007
01/01/90 19:00,0,0,1.1001,27.03,0,-0.007
01/01/90 20:00,0,0,1.2001,26.31,0,-0.007
01/01/90 21:00,0,0,0.4,26.14,0,-0.007
01/01/90 22:00,0,0,0.2,25.89,0,-0.007
01/01/90 23:00,0,0,0.2,25.62,0,-0.007
02/01/90 00:00,0,0,0.3,25.19,0,-0.007
02/01/90 01:00,0,0,2.1,24.76,0,-0.007
02/01/90 02:00,0,0,3.7,24.44,0,-0.007
02/01/90 03:00,0,0,2.4999,24.18,0,-0.007
02/01/90 04:00,0,0,3.4001,23.92,0,-0.007
02/01/90 05:00,0,0,1.9,23.74,0,-0.007
02/01/90 06:00,0,1.2061,2.4999,23.74,0,-0.007
02/01/90 07:00,92.402,91.905,0.5999,24.53,27.47,28.215
02/01/90 08:00,266.19,257.9,0.8999,25.81,34.496,88.283
02/01/90 09:00,416.85,399.3,0.7999,27.1,41.139,141.1
02/01/90 10:00,495.99,472.5,1.2001,28.13,45.065,167.88
02/01/90 11:00,610.11,570.4,0.4999,29.12,50.393,206.09
02/01/90 12:00,570.36,529.9,1.7,29.71,49.755,194.76
