PVSYST 7.4.7
,File,File date,Description
Project,standalonw with shading 24-02-2026_Project.PRJ,25/03/26 16h53,standalonw with shading 24-02-2026,
Geographical Site,George Town_MN81.SIT,25/03/26 16h53,George Town;India;Asia;,
Weather data,George Town_MN81_SYN.MET,29/12/25 19h12,George Town;Meteonorm 8.1 (1996-2015);Synthetic,
Simulation variant,standalonw with shading 24-02-2026_Project.VC0,25/03/26 16h53,New simulation variant,
Simulation date,,25/03/26 21h05

Simulation:,Hourly values, from 01/01/90, to 31/12/90 

date,GlobHor,T_Amb,WindVel,GlobInc,TArray,E_Solar
    ,W/m²,°C,m/s,W/m²,°C,kW

01/01/90 00:00,0,24.84,0.6999,0,0,0
01/01/90 01:00,0,26.28,0.3,0,0,0
01/01/90 02:00,0,26.03,0.2,0,0,0
01/01/90 03:00,0,25.98,0.4999,0,0,0
01/01/90 04:00,0,25.89,0.4999,0,0,0
01/01/90 05:00,0,25.84,0.8999,0,0,0
01/01/90 06:00,0.9942,25.83,0.4999,0,0,0
01/01/90 07:00,45.097,26.26,1.5001,43.526,27.748,8.3449
01/01/90 08:00,111.81,26.8,0.8999,108.61,30.457,31.698
01/01/90 09:00,182.7,27.4,3.7,178.55,33.405,56.861
01/01/90 10:00,242.3,27.93,2.3,238.4,35.964,78.088
01/01/90 11:00,261.6,28.41,1.9,258.21,37.143,84.973
01/01/90 12:00,239.5,28.67,2.3,235.8,36.651,77.261
01/01/90 13:00,217.91,28.81,2.6999,215.31,36.108,70.132
01/01/90 14:00,176.8,28.84,1.7,173.92,34.725,55.14
01/01/90 15:00,126.9,28.66,3.4001,124.37,32.867,37.236
01/01/90 16:00,61.998,28.28,1.5001,59.865,30.318,14.029
01/01/90 17:00,4.2049,27.69,2.1,0,0,0
01/01/90 18:00,0,26.87,1.1001,0,0,0
01/01/90 19:00,0,27.03,1.1001,0,0,0
01/01/90 20:00,0,26.31,1.2001,0,0,0
01/01/90 21:00,0,26.14,0.4,0,0,0
01/01/90 22:00,0,25.89,0.2,0,0,0
01/01/90 23:00,0,25.62,0.2,0,0,0
02/01/90 00:00,0,25.19,0.3,0,0,0
02/01/90 01:00,0,24.76,2.1,0,0,0
02/01/90 02:00,0,24.44,3.7,0,0,0
02/01/90 03:00,0,24.18,2.4999,0,0,0
02/01/90 04:00,0,23.92,3.4001,0,0,0
02/01/90 05:00,0,23.74,1.9,0,0,0
02/01/90 06:00,1.2061,23.74,2.4999,0,0,0
02/01/90 07:00,91.905,24.53,0.5999,92.402,27.47,24.26
02/01/90 08:00,257.9,25.81,0.8999,266.19,34.496,85.585
02/01/90 09:00,399.3,27.1,0.7999,416.85,41.139,137.37
02/01/90 10:00,472.5,28.13,1.2001,495.99,45.065,163.59
02/01/90 11:00,570.4,29.12,0.4999,610.11,50.393,201.36
02/01/90 12:00,529.9,29.71,1.7,570.36,49.755,190.1
02/01/90 13:00,361.1,29.76,2.1,364.84,42.237,120.92
02/01/90 14:00,301.6,29.62,0.8999,306.33,40.075,101.63
02/01/90 15:00,282.9,29.45,1.7,310.42,40.078,103.38
02/01/90 16:00,144.5,28.92,0.8999,164.98,34.379,50.573
02/01/90 17:00,4.1071,28.1,1.2001,0,0,0
02/01/90 18:00,0,27.55,0.3,0,0,0
02/01/90 19:00,0,27,0.2,0,0,0
02/01/90 20:00,0,26.44,0.1,0,0,0
02/01/90 21:00,0,25.89,0.1,0,0,0
02/01/90 22:00,0,25.33,0,0,0,0
02/01/90 23:00,0,24.78,0,0,0,0
03/01/90 00:00,0,24.43,0,0,0,0
03/01/90 01:00,0,23.87,0,0,0,0
03/01/90 02:00,0,23.31,0.1,0,0,0
03/01/90 03:00,0,23.02,0.1,0,0,0
03/01/90 04:00,0,22.73,0.1,0,0,0
03/01/90 05:00,0,22.53,0.1,0,0,0
03/01/90 06:00,1.695,22.56,0.1,0,0,0
03/01/90 07:00,140.6,24.09,0.2,153.78,28.354,38.843
03/01/90 08:00,308.8,25.54,0.4999,328.23,36.092,104.58
03/01/90 09:00,412.8,26.79,0.8999,431.49,41.323,142.25
03/01/90 10:00,580,28.19,3.2001,623.32,49.624,203.64
03/01/90 11:00,772.5,29.74,3.2001,860.7,60.368,273.65
03/01/90 12:00,696.7,30.63,4.2,785.35,58.89,255.02
03/01/90 13:00,674.21,31.25,2.6999,782.07,59.537,254.48
03/01/90 14:00,595.5,31.55,1.2001,726,57.765,238.41
03/01/90 15:00,429.6,31.42,2.1,549.51,50.707,181.92
03/01/90 16:00,226.71,30.71,5.4001,314.77,40.952,98.979
03/01/90 17:00,20.699,29.55,9.1001,19.234,30.224,1.4426
03/01/90 18:00,0,28.81,6.4,0,0,0
03/01/90 19:00,0,28.08,2.4999,0,0,0
03/01/90 20:00,0,27.35,1.9,0,0,0
03/01/90 21:00,0,26.62,2.1,0,0,0
03/01/90 22:00,0,25.89,1.5001,0,0,0
03/01/90 23:00,0,25.16,1.5001,0,0,0
04/01/90 00:00,0,24.64,1.2001,0,0,0
04/01/90 01:00,0,23.84,1.1001,0,0,0
04/01/90 02:00,0,23.03,2.4999,0,0,0
04/01/90 03:00,0,22.61,2.8999,0,0,0
04/01/90 04:00,0,22.19,3.4001,0,0,0
04/01/90 05:00,0,21.9,1.1001,0,0,0
04/01/90 06:00,0.9942,21.88,0.3,0,0,0
04/01/90 07:00,116.79,23.07,0.3,121.02,26.726,32.385
04/01/90 08:00,288.3,24.5,0.4,305.08,34.321,97.756
04/01/90 09:00,471.99,26.02,0.3,504.33,43.031,165.95
04/01/90 10:00,580.3,27.32,0.7999,624.74,48.796,204.8
04/01/90 11:00,705.69,28.56,0.6999,784.19,56.335,253.84
04/01/90 12:00,713.4,29.45,2.4999,808.29,58.595,263.1
04/01/90 13:00,690.9,30.06,0.7999,803.05,59.126,261.75
04/01/90 14:00,588.01,30.32,0.4999,710.4,55.894,234.83
04/01/90 15:00,401.99,30.11,0.5999,505.14,47.77,168.58
04/01/90 16:00,191.8,29.32,0.8999,251.12,37.531,79.332
04/01/90 17:00,18.906,28.22,1.7,17.313,28.829,1.0324
04/01/90 18:00,0,27.56,1.5001,0,0,0
04/01/90 19:00,0,26.9,1.9,0,0,0
04/01/90 20:00,0,26.24,0.4,0,0,0
04/01/90 21:00,0,25.58,0.8999,0,0,0
04/01/90 22:00,0,24.92,0.6999,0,0,0
04/01/90 23:00,0,24.38,0.6999,0,0,0
05/01/90 00:00,0,23.79,2.4999,0,0,0
05/01/90 01:00,0,23.17,3.2001,0,0,0
05/01/90 02:00,0,22.54,2.4999,0,0,0
05/01/90 03:00,0,22.2,1.2001,0,0,0
05/01/90 04:00,0,21.87,2.3,0,0,0
05/01/90 05:00,0,21.63,1.4001,0,0,0
05/01/90 06:00,3.5041,21.67,2.1,0,0,0
