PVSYST 7.4.7
,File,File date,Description
Project,GRID CONNECTED WITHOUT SHADING_Project.PRJ,25/01/26 22h57,GRID CONNECTED WITHOUT SHADING,
Geographical Site,George Town_MN81.SIT,25/01/26 22h57,George Town;India;Asia;,
Weather data,George Town_MN81_SYN.MET,29/12/25 19h12,George Town;Meteonorm 8.1 (1996-2015);Synthetic,
Simulation variant,GRID CONNECTED WITHOUT SHADING_Project.VC0,25/03/26 20h37,New simulation variant,
Simulation date,,25/03/26 20h38

Simulation:,Hourly values, from 01/01/90, to 31/12/90 

date,GlobInc,GlobHor,T_Amb,WindVel,TArray,E_Grid
    ,W/m²,W/m²,°C,m/s,°C,kW

01/01/90 00:00,0,0,24.84,0.6999,0,-0.007
01/01/90 01:00,0,0,26.28,0.3,0,-0.007
01/01/90 02:00,0,0,26.03,0.2,0,-0.007
01/01/90 03:00,0,0,25.98,0.4999,0,-0.007
01/01/90 04:00,0,0,25.89,0.4999,0,-0.007
01/01/90 05:00,0,0,25.84,0.8999,0,-0.007
01/01/90 06:00,0,0.9942,25.83,0.4999,0,-0.007
01/01/90 07:00,43.526,45.097,26.26,1.5001,27.803,13.428
01/01/90 08:00,108.61,111.81,26.8,0.8999,30.597,36.885
01/01/90 09:00,178.55,182.7,27.4,3.7,33.637,62.258
01/01/90 10:00,238.4,242.3,27.93,2.3,36.267,83.806
01/01/90 11:00,258.21,261.6,28.41,1.9,37.45,90.793
01/01/90 12:00,235.8,239.5,28.67,2.3,36.92,82.608
01/01/90 13:00,215.31,217.91,28.81,2.6999,36.349,75.255
01/01/90 14:00,173.92,176.8,28.84,1.7,34.927,60.263
01/01/90 15:00,124.37,126.9,28.66,3.4001,33.018,42.359
01/01/90 16:00,59.865,61.998,28.28,1.5001,30.393,19.102
01/01/90 17:00,0,4.2049,27.69,2.1,0,-0.007
01/01/90 18:00,0,0,26.87,1.1001,0,-0.007
01/01/90 19:00,0,0,27.03,1.1001,0,-0.007
01/01/90 20:00,0,0,26.31,1.2001,0,-0.007
01/01/90 21:00,0,0,26.14,0.4,0,-0.007
01/01/90 22:00,0,0,25.89,0.2,0,-0.007
01/01/90 23:00,0,0,25.62,0.2,0,-0.007
02/01/90 00:00,0,0,25.19,0.3,0,-0.007
02/01/90 01:00,0,0,24.76,2.1,0,-0.007
02/01/90 02:00,0,0,24.44,3.7,0,-0.007
02/01/90 03:00,0,0,24.18,2.4999,0,-0.007
02/01/90 04:00,0,0,23.92,3.4001,0,-0.007
02/01/90 05:00,0,0,23.74,1.9,0,-0.007
02/01/90 06:00,0,1.2061,23.74,2.4999,0,-0.007
02/01/90 07:00,92.402,91.905,24.53,0.5999,27.625,29.857
02/01/90 08:00,266.19,257.9,25.81,0.8999,35.02,93.695
02/01/90 09:00,416.85,399.3,27.1,0.7999,41.828,147.74
02/01/90 10:00,495.99,472.5,28.13,1.2001,45.763,174.38
02/01/90 11:00,610.11,570.4,29.12,0.4999,51.004,211.41
02/01/90 12:00,570.36,529.9,29.71,1.7,50.131,198.06
02/01/90 13:00,364.84,361.1,29.76,2.1,42.6,127.81
02/01/90 14:00,306.33,301.6,29.62,0.8999,40.383,107.62
02/01/90 15:00,310.42,282.9,29.45,1.7,40.398,109.53
02/01/90 16:00,164.98,144.5,28.92,0.8999,34.673,56.782
02/01/90 17:00,0,4.1071,28.1,1.2001,0,-0.007
02/01/90 18:00,0,0,27.55,0.3,0,-0.007
02/01/90 19:00,0,0,27,0.2,0,-0.007
02/01/90 20:00,0,0,26.44,0.1,0,-0.007
02/01/90 21:00,0,0,25.89,0.1,0,-0.007
02/01/90 22:00,0,0,25.33,0,0,-0.007
02/01/90 23:00,0,0,24.78,0,0,-0.007
03/01/90 00:00,0,0,24.43,0,0,-0.007
03/01/90 01:00,0,0,23.87,0,0,-0.007
03/01/90 02:00,0,0,23.31,0.1,0,-0.007
03/01/90 03:00,0,0,23.02,0.1,0,-0.007
03/01/90 04:00,0,0,22.73,0.1,0,-0.007
