PVSYST 7.4.7
,File,File date,Description
Project,standalone without shading 24-03-2026_Project.PRJ,25/03/26 14h01,standalone without shading 24-03-2026,
Geographical Site,George Town_MN81.SIT,25/03/26 14h01,George Town;India;Asia;,
Weather data,George Town_MN81_SYN.MET,29/12/25 19h12,George Town;Meteonorm 8.1 (1996-2015);Synthetic,
Simulation variant,standalone without shading 24-03-2026_Project.VC0,25/03/26 14h01,New simulation variant,
Simulation date,,25/03/26 20h53

Simulation:,Hourly values, from 01/01/90, to 31/12/90 

date,GlobHor,WindVel,T_Amb,GlobInc,TArray,E_Load
    ,W/m²,m/s,°C,W/m²,°C,kW

01/01/90 00:00,0,0.6999,24.84,0,0,75
01/01/90 01:00,0,0.3,26.28,0,0,75
01/01/90 02:00,0,0.2,26.03,0,0,75
01/01/90 03:00,0,0.4999,25.98,0,0,75
01/01/90 04:00,0,0.4999,25.89,0,0,75
01/01/90 05:00,0,0.8999,25.84,0,0,75
01/01/90 06:00,0.9942,0.4999,25.83,0,0,75
01/01/90 07:00,45.097,1.5001,26.26,43.526,27.803,75
01/01/90 08:00,111.81,0.8999,26.8,108.61,30.597,75
01/01/90 09:00,182.7,3.7,27.4,178.55,33.637,75
01/01/90 10:00,242.3,2.3,27.93,238.4,36.267,75
01/01/90 11:00,261.6,1.9,28.41,258.21,37.45,75
01/01/90 12:00,239.5,2.3,28.67,235.8,36.92,75
01/01/90 13:00,217.91,2.6999,28.81,215.31,36.349,75
01/01/90 14:00,176.8,1.7,28.84,173.92,34.927,75
01/01/90 15:00,126.9,3.4001,28.66,124.37,33.018,75
01/01/90 16:00,61.998,1.5001,28.28,59.865,30.393,75
01/01/90 17:00,4.2049,2.1,27.69,0,0,75
01/01/90 18:00,0,1.1001,26.87,0,0,75
01/01/90 19:00,0,1.1001,27.03,0,0,75
01/01/90 20:00,0,1.2001,26.31,0,0,75
01/01/90 21:00,0,0.4,26.14,0,0,75
01/01/90 22:00,0,0.2,25.89,0,0,75
01/01/90 23:00,0,0.2,25.62,0,0,75
02/01/90 00:00,0,0.3,25.19,0,0,75
02/01/90 01:00,0,2.1,24.76,0,0,75
02/01/90 02:00,0,3.7,24.44,0,0,75
02/01/90 03:00,0,2.4999,24.18,0,0,75
02/01/90 04:00,0,3.4001,23.92,0,0,75
02/01/90 05:00,0,1.9,23.74,0,0,75
02/01/90 06:00,1.2061,2.4999,23.74,0,0,75
02/01/90 07:00,91.905,0.5999,24.53,92.402,27.625,75
02/01/90 08:00,257.9,0.8999,25.81,266.19,35.02,75
02/01/90 09:00,399.3,0.7999,27.1,416.85,41.828,75
02/01/90 10:00,472.5,1.2001,28.13,495.99,45.763,75
02/01/90 11:00,570.4,0.4999,29.12,610.11,51.004,75
02/01/90 12:00,529.9,1.7,29.71,570.36,50.131,75
02/01/90 13:00,361.1,2.1,29.76,364.84,42.6,75
02/01/90 14:00,301.6,0.8999,29.62,306.33,40.383,75
02/01/90 15:00,282.9,1.7,29.45,310.42,40.398,75
02/01/90 16:00,144.5,0.8999,28.92,164.98,34.673,75
02/01/90 17:00,4.1071,1.2001,28.1,0,0,75
02/01/90 18:00,0,0.3,27.55,0,0,75
02/01/90 19:00,0,0.2,27,0,0,75
02/01/90 20:00,0,0.1,26.44,0,0,75
02/01/90 21:00,0,0.1,25.89,0,0,75
02/01/90 22:00,0,0,25.33,0,0,75
02/01/90 23:00,0,0,24.78,0,0,75
03/01/90 00:00,0,0,24.43,0,0,75
03/01/90 01:00,0,0,23.87,0,0,75
03/01/90 02:00,0,0.1,23.31,0,0,75
03/01/90 03:00,0,0.1,23.02,0,0,75
03/01/90 04:00,0,0.1,22.73,0,0,75
03/01/90 05:00,0,0.1,22.53,0,0,75
03/01/90 06:00,1.695,0.1,22.56,0,0,75
03/01/90 07:00,140.6,0.2,24.09,153.78,28.748,75
03/01/90 08:00,308.8,0.4999,25.54,328.23,36.864,75
03/01/90 09:00,412.8,0.8999,26.79,431.49,42.041,75
03/01/90 10:00,580,3.2001,28.19,623.32,50.539,75
03/01/90 11:00,772.5,3.2001,29.74,860.7,61.156,75
03/01/90 12:00,696.7,4.2,30.63,785.35,59.207,75
03/01/90 13:00,674.21,2.6999,31.25,782.07,59.749,75
03/01/90 14:00,595.5,1.2001,31.55,726,57.933,75
03/01/90 15:00,429.6,2.1,31.42,549.51,51.142,75
03/01/90 16:00,226.71,5.4001,30.71,314.77,41.671,75
03/01/90 17:00,20.699,9.1001,29.55,19.234,30.25,75
03/01/90 18:00,0,6.4,28.81,0,0,75
03/01/90 19:00,0,2.4999,28.08,0,0,75
03/01/90 20:00,0,1.9,27.35,0,0,75
03/01/90 21:00,0,2.1,26.62,0,0,75
03/01/90 22:00,0,1.5001,25.89,0,0,75
03/01/90 23:00,0,1.5001,25.16,0,0,75
04/01/90 00:00,0,1.2001,24.64,0,0,75
